role_frac_0,role_frac_1,role_frac_2,role_frac_3,role_frac_4,role_frac_5,role_frac_6,role_frac_7,role_frac_8,role_frac_9,role_frac_10,role_frac_11,role_entropy,role_gini,unassigned_frac,style,deck,result
0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.7916666666666666,0.0,aggro,AggroPirateWarrior,loss
0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,2.5216406363433186,0.5595238095238095,0.0,aggro,AggroPirateWarrior,win
0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,1.9056390622295665,0.7291666666666666,0.0,aggro,AggroPirateWarrior,win
0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,1.8423709931771088,0.75,0.0,aggro,AggroPirateWarrior,win
0.4,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.9219280948873623,0.7166666666666668,0.0,aggro,AggroPirateWarrior,win
0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,1.5219280948873621,0.7833333333333333,0.0,aggro,AggroPirateWarrior,win
0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.3709505944546687,0.8166666666666668,0.0,aggro,AggroPirateWarrior,win
0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.0,2.197159723424149,0.6759259259259259,0.0,aggro,AggroPirateWarrior,win
0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,1.9219280948873623,0.7166666666666668,0.0,aggro,AggroPirateWarrior,loss
0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,1.9182958340544896,0.7222222222222222,0.0,aggro,AggroPirateWarrior,loss
0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.4591479170272446,0.8055555555555555,0.0,aggro,AggroPirateWarrior,win
0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.0,0.09090909090909091,0.0,0.0,1.971747257128181,0.7348484848484849,0.0,aggro,AggroPirateWarrior,loss
0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,2.2516291673878226,0.6388888888888888,0.0,aggro,AggroPirateWarrior,loss
0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.584962500721156,0.75,0.0,aggro,AggroPirateWarrior,win
0.25,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.25,0.0,0.08333333333333333,0.0,0.0,2.2295739585136225,0.6527777777777778,0.0,aggro,AggroPirateWarrior,win
0.23076923076923078,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.38461538461538464,0.0,0.07692307692307693,0.0,0.0,2.1339375660949167,0.6987179487179488,0.0,aggro,AggroPirateWarrior,loss
0.25,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,2.3553885422075336,0.6527777777777777,0.0,aggro,AggroPirateWarrior,loss
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.9182958340544896,0.861111111111111,0.0,aggro,AggroPirateWarrior,loss
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,1.5219280948873621,0.7833333333333333,0.0,aggro,AggroPirateWarrior,win
0.2,0.0,0.0,0.3,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.0,2.2464393446710154,0.65,0.0,aggro,AggroPirateWarrior,loss
0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,1.8423709931771084,0.75,0.0,aggro,AggroPirateWarrior,win
0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,2.128085278891394,0.6785714285714285,0.0,aggro,AggroPirateWarrior,loss
0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1.9182958340544893,0.7222222222222222,0.0,aggro,AggroPirateWarrior,win
0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,2.299896391167891,0.6590909090909091,0.0,aggro,AggroPirateWarrior,loss
0.375,0.0,0.0,0.125,0.0,0.125,0.125,0.25,0.0,0.0,0.0,0.0,2.1556390622295662,0.6875,0.0,aggro,AggroPirateWarrior,win
0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,2.4193819456463714,0.6203703703703703,0.0,aggro,AggroPirateWarrior,loss
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.8333333333333334,0.0,aggro,AggroPirateWarrior,loss
0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,2.2516291673878226,0.6388888888888888,0.0,aggro,AggroPirateWarrior,loss
0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,1.2516291673878228,0.8333333333333334,0.0,aggro,AggroPirateWarrior,win
0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,1.7924812503605778,0.75,0.0,aggro,AggroPirateWarrior,win
0.3,0.0,0.0,0.2,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,2.4464393446710155,0.6166666666666667,0.0,aggro,AggroPirateWarrior,win
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.9182958340544896,0.861111111111111,0.0,aggro,AggroPirateWarrior,win
0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,2.299896391167891,0.6590909090909091,0.0,aggro,AggroPirateWarrior,loss
0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.0,0.125,0.0,0.0,2.25,0.6458333333333334,0.0,aggro,AggroPirateWarrior,win
0.38461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,1.8843135277997989,0.7371794871794872,0.0,aggro,AggroPirateWarrior,loss
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,1.9182958340544893,0.7222222222222222,0.0,aggro,AggroPirateWarrior,loss
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,aggro,AggroPirateWarrior,loss
0.2,0.0,0.0,0.3,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,1.8464393446710154,0.75,0.0,aggro,AggroPirateWarrior,win
0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,2.481714572986073,0.5984848484848485,0.0,aggro,AggroPirateWarrior,win
0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.954434002924965,0.8541666666666666,0.0,aggro,AggroPirateWarrior,win
0.18181818181818182,0.0,0.0,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,2.481714572986073,0.5984848484848485,0.0,aggro,AggroPirateWarrior,loss
