user_hash,aggro_control,tempo_value,risk,greedy_eff,n_games
01DE27F723DBA6AA3F3D9B085A292626,-0.922798187880271,-0.4914348441357308,-0.22496304395656097,0.9778399974730927,455
02BE56C56050E98A011C31340F4376F0,-0.5692789771351865,-0.999202850997799,-0.9787350182283424,-0.3131363053430356,29
03019D3B5094E121EBCEEB6F21F0FBE5,-0.03286261234401466,-0.1137766481848596,-0.07779266386200437,0.2780656027506871,499
03C9A80213B75DD46F4C1DF6EA966B42,-0.9998372918550313,-0.9990998140153392,0.9505886859040339,0.9669563150673129,21
0595B1E1C48983DE1176D93870B0FD6F,0.8578003894697369,0.5207134638851982,-0.16537061635013464,-0.5789206532467595,251
0675131D304DFB550A83C54A92568BBE,0.5982369729260762,-0.8227092701328793,-0.060226492367194864,-0.08629572938926776,65
08559CE836A3FD14B06DAAE60F74C1B8,0.507718951245448,0.2918825706192205,0.386194977475835,-0.6523641183907372,192
0A89B858BCA8B415A945FF6F713FD15D,-0.1592929381076909,0.02865648414476063,-0.6911255340896921,0.18938082093544978,278
0B6D8FCDD2400CC700D587FF06CBED79,0.6041952883778201,0.2692276148411471,0.12718397699878473,-0.3823762952903429,441
1096E9BC5E950F1C713190C840555259,-0.3859776946303005,-0.06418597434974176,0.03063736545066388,0.9728852093639307,103
125C2E338A44E57B812FDEB06E6E27F0,0.7244642787540158,0.6168694414667713,0.6370102880998127,-0.7848237231389187,61
1889371E537F5DA03F7F68D24D8DF3FB,0.6740892613868349,0.6178419478442826,-0.4099296036062808,-0.4972156817158036,102
18A343248A5C2919E24F4687D5C2EDF4,0.16892093195300015,0.7081227691329446,-0.7729402991760086,-0.508847445484572,23
1A54102EB592B0559F735C9B8A618E9A,-0.3936935388427396,-0.9787541791903538,-0.9285680244014206,-0.0440486985405718,103
1B076B50A3AD4BA3C6B674BD391E746E,0.14323428827688056,0.5534964180230475,-0.18708231859308744,-0.6578425012158593,106
1CF4F23E66178C16735483B4E9918894,0.9471337731065498,0.815931452088848,0.44343683323933847,-0.9814061774279383,21
1E808DFEAA42A93A4F3984B28F8C44D9,0.25985337833251193,0.6292316617314797,-0.3271037894232776,-0.5923720143333437,632
20C2BB16D1E598343A4336BE81E7C93C,-0.3049847968181967,0.5612179139251339,-0.6326742847334562,-0.08651721172585172,1183
22EB1EB98A7EACC5AAB5750557E197D6,-0.3578148092554329,0.19923258176179978,-0.6603861250375088,0.6046883499692676,26
2318A2F2FD8A424DDADF68438E653E6A,0.39290681057513155,-0.17084792234051685,0.031814174968008986,-0.0892195263882585,154
2600C5BAFBA9AAC65CDBBD1728A43F60,0.5102008285247757,-0.04997811089137236,0.7434121693691426,-0.04402860165080785,208
2B19108E708F54EC75FBB99C67698C51,-0.1224233087715726,-0.7720717177161428,-0.8886841528804527,-0.5902327517794637,16
2BBAF573183F94724B51C438E2929772,-0.4767579855327164,0.016276570724653446,0.47275768020561376,0.00822392125016681,70
2D97FD1853040D7C9D7EFCF7A5D099C3,0.6724116216665936,0.6502534231086406,0.3825641949575047,-0.8738980077340402,221
30D21636EBCA160B2063419507CFA0DA,-0.9873000831739471,-0.9930776005058891,-0.7862502341552737,0.8672103998429797,38
31BA55BDF780150BB933C2A09A816ADC,0.7777113356186328,0.7548243276071451,0.2679293728855624,-0.7864136117013003,547
3366A2858944F7A419222B5507D82571,0.8225184432296332,0.16379891505432045,-0.11630148077337933,-0.6764954315061761,25
3A4AADD6F23C3240B8D607BB4DAFD415,0.7521895568026201,-0.23760073180663602,-0.5581989889266783,-0.7465130056110714,168
3CB4D427297FEF65F50BED6EC2602475,-0.501516701115932,-0.6148443310435986,0.10128863106137503,0.8771779450567413,394
3E3C3A921C3850606C139919B2105D25,0.4989971728264543,0.13599273909395312,-0.8964267938175361,-0.7100271581587877,35
4251BB0F5C397C0E48E8C8CFC722B802,-0.3187518725702596,-0.8376395107526577,-0.739954889473368,0.8578940935608976,163
4255DA1E52343794DBC1B9099655E719,0.0778627788501776,0.24508957994960234,0.8246576569789574,-0.2004846570162229,58
469BEB1CDF07467EC965A083CDD5DEC6,-0.1328370031448562,0.2729842848407947,-0.7551201071953513,0.315223340964438,52
