game_file,style,deck,deck_family,hero_class,opp_style,opp_deck,start_player,n_turns_total,won,ch_face_pref,ch_attack_engage,ch_heropower_pref,ch_play_pref,ch_pass_with_play,ch_minion_play_pref,ch_hp_over_play,ch_hero_attack_face_pref,ch_cost_pct,ch_max_cost_pref,ch_mana_commit,ch_target_atk_pct,ch_target_hp_pct,ch_n_options,ch_face_dilemma_rate,raw_n_turns,raw_n_decisions,raw_face_dmg_per_turn,raw_dmg_taken_per_turn,raw_heal_per_turn,raw_face_attack_ratio,raw_attacks_per_turn,raw_cards_per_turn,raw_avg_card_cost,raw_max_card_cost,raw_minion_frac,raw_mana_spent,raw_mana_spent_per_turn,raw_mana_floated_per_turn,raw_hero_power_per_turn,raw_board_size_mean,raw_opp_minions_killed_per_turn,raw_my_minions_lost_per_turn,raw_first_minion_turn,raw_deck_count_end
game_014_ramp-MidrangeSecretHunter_vs_control-MidrangeSecretHunter.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,control,MidrangeSecretHunter,2,14,1,0.16666666666666666,0.6190476190476191,0.1111111111111111,0.7692307692307693,0.0,0.5,0.1111111111111111,,0.6511904761904762,0.875,0.89375,0.5,0.5,5.333333333333333,0.2,7,30,4.0,0.0,0.0,0.8461538461538461,1.8571428571428572,1.4285714285714286,2.2,6.0,0.5,22.0,3.142857142857143,0.0,0.14285714285714285,2.6,0.42857142857142855,0.14285714285714285,2.0,19
game_014_ramp-MidrangeSecretHunter_vs_control-MiraclePirateRogue.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,control,MiraclePirateRogue,2,14,1,0.0,0.6923076923076923,0.0,0.8181818181818182,0.09090909090909091,0.5,0.0,,0.5685434399202515,0.6666666666666666,0.6828042328042329,0.75,0.5,7.125,0.16666666666666666,7,24,3.857142857142857,0.0,0.0,0.7777777777777778,1.2857142857142858,1.2857142857142858,2.5555555555555554,6.0,0.5555555555555556,23.0,3.2857142857142856,0.2857142857142857,0.0,2.9166666666666665,0.2857142857142857,0.0,2.0,19
game_014_ramp-MidrangeSecretHunter_vs_control-MurlocDruid.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,control,MurlocDruid,2,15,0,0.0,0.4166666666666667,0.14285714285714285,0.7777777777777778,0.1111111111111111,1.0,0.14285714285714285,,0.6382275132275133,0.8333333333333334,0.8789682539682538,0.75,0.5,4.45,0.15,7,20,1.1428571428571428,0.7142857142857143,0.0,0.4,0.7142857142857143,1.0,3.0,6.0,0.5714285714285714,21.0,3.0,0.8571428571428571,0.14285714285714285,0.9,0.42857142857142855,0.2857142857142857,2.0,19
game_014_ramp-MidrangeSecretHunter_vs_control-RenoKazakusDragonPriest.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,control,RenoKazakusDragonPriest,2,23,0,0.1111111111111111,0.3333333333333333,0.2608695652173913,0.625,0.125,0.5714285714285714,0.2,,0.4646031746031746,0.6,0.5228306878306879,,,5.54054054054054,0.24324324324324326,11,37,1.9090909090909092,0.0,0.0,0.4,0.45454545454545453,1.3636363636363635,2.4,6.0,0.6666666666666666,36.0,3.272727272727273,1.6363636363636365,0.5454545454545454,1.5135135135135136,0.5454545454545454,0.45454545454545453,2.0,15
game_014_ramp-MidrangeSecretHunter_vs_control-RenoKazakusMage.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,control,RenoKazakusMage,2,25,0,0.3333333333333333,0.34375,0.3181818181818182,0.45161290322580644,0.22580645161290322,0.8181818181818182,0.3181818181818182,0.0,0.6103316326530611,0.7857142857142857,0.548327664399093,0.5,0.5833333333333333,5.818181818181818,0.2727272727272727,12,44,2.75,0.16666666666666666,0.0,0.7272727272727273,0.9166666666666666,1.1666666666666667,2.5714285714285716,6.0,0.6428571428571429,36.0,3.0,2.1666666666666665,0.5833333333333334,1.8636363636363635,0.25,0.0,2.0,14
game_014_ramp-MidrangeSecretHunter_vs_control-ZooDiscardWarlock.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,control,ZooDiscardWarlock,1,17,1,0.35,0.6086956521739131,0.13333333333333333,0.625,0.0,0.75,0.07142857142857142,0.0,0.645,1.0,0.8182142857142857,0.5416666666666666,0.45833333333333337,6.764705882352941,0.5882352941176471,9,34,2.4444444444444446,0.3333333333333333,0.0,0.5714285714285714,1.5555555555555556,1.1111111111111112,3.1,6.0,0.7,31.0,3.4444444444444446,0.1111111111111111,0.2222222222222222,2.4705882352941178,0.6666666666666666,0.3333333333333333,1.0,18
game_014_ramp-MidrangeSecretHunter_vs_fatigue-AggroPirateWarrior.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,AggroPirateWarrior,2,14,1,0.2222222222222222,0.631578947368421,0.09090909090909091,0.625,0.125,0.2857142857142857,0.0,,0.5055002247812705,0.6666666666666666,0.8124338624338624,0.5,0.5,8.482758620689655,0.3103448275862069,7,29,4.571428571428571,0.0,0.0,0.6666666666666666,1.7142857142857142,1.4285714285714286,2.2,4.0,0.5,22.0,3.142857142857143,0.14285714285714285,0.14285714285714285,2.8620689655172415,0.7142857142857143,0.2857142857142857,2.0,19
game_014_ramp-MidrangeSecretHunter_vs_fatigue-MidrangeBuffPaladin.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,MidrangeBuffPaladin,2,17,0,0.0,0.5833333333333334,0.15789473684210525,0.8125,0.0,0.6666666666666666,0.06666666666666667,,0.4491666666666667,0.6,0.6342857142857143,0.5,0.5,4.947368421052632,0.21052631578947367,8,38,1.75,1.0,0.0,0.42857142857142855,1.75,1.625,2.3076923076923075,6.0,0.38461538461538464,30.0,3.75,0.125,0.375,2.3684210526315788,0.75,0.375,2.0,18
game_014_ramp-MidrangeSecretHunter_vs_fatigue-MidrangeJadeShaman.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,MidrangeJadeShaman,2,14,1,0.2222222222222222,0.7741935483870968,0.0,0.6666666666666666,0.0,0.42857142857142855,0.0,,0.4916535845107273,0.5714285714285714,0.7523809523809523,0.5,0.5,6.425,0.225,7,40,4.285714285714286,0.0,0.0,0.5416666666666666,3.4285714285714284,1.4285714285714286,2.0,4.0,0.4,20.0,2.857142857142857,0.2857142857142857,0.0,4.1,1.1428571428571428,0.7142857142857143,2.0,19
game_014_ramp-MidrangeSecretHunter_vs_fatigue-MidrangeSecretHunter.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,MidrangeSecretHunter,1,11,1,0.5,0.6923076923076923,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,,0.525,0.75,0.85,,,5.75,0.2,6,20,5.0,0.0,0.0,0.8888888888888888,1.5,1.0,2.5,4.0,0.5,15.0,2.5,0.0,0.0,2.45,0.3333333333333333,0.0,1.0,21
