protocol,features,pool_N,held_out,acc,ari_direct,ari_lda,n_test
LOAO,raw,1,aggro,0.4029198162146139,0.0638212004016753,0.10154412991944439,13494
LOAO,raw,1,combo_tempo,0.4271111111111111,0.07091517251121539,0.11529030952211318,4500
LOAO,raw,1,highlander_control,0.4046005111679076,0.06809001958712652,0.08919410840425004,8999
LOAO,raw,1,midrange,0.3901770501518631,0.04093641769047985,0.08897586751767411,13499
LOAO,raw,10,aggro,0.5615727002967359,0.18470049424204918,0.2512258322867447,1348
LOAO,raw,10,combo_tempo,0.4866666666666667,0.46045075976739186,0.5603528139758284,450
LOAO,raw,10,highlander_control,0.557285873192436,0.19247172825273284,0.1557606068636733,899
LOAO,raw,10,midrange,0.4625648628613788,0.08482308243649385,0.1979275821525312,1349
LOAO,raw+deckz (OLD),1,aggro,0.45183044315992293,0.06801311680422349,0.10497240322318283,13494
LOAO,raw+deckz (OLD),1,combo_tempo,0.474,0.07091517251121539,0.12035925387303291,4500
LOAO,raw+deckz (OLD),1,highlander_control,0.456606289587732,0.07613373790854747,0.10118015669849074,8999
LOAO,raw+deckz (OLD),1,midrange,0.4387732424624046,0.039096151858756784,0.11762628389600564,13499
LOAO,raw+deckz (OLD),10,aggro,0.7729970326409495,0.3605050999661894,0.5023623147717072,1348
LOAO,raw+deckz (OLD),10,combo_tempo,0.8,0.46045075976739186,0.593457739495131,450
LOAO,raw+deckz (OLD),10,highlander_control,0.6918798665183538,0.28762899300443523,0.43687220763267043,899
LOAO,raw+deckz (OLD),10,midrange,0.7746478873239436,0.2165775635671082,0.5644331174303597,1349
LOAO,choice (NEW),1,aggro,0.4558322217281755,0.07974186658728649,0.12205833632245894,13494
LOAO,choice (NEW),1,combo_tempo,0.484,0.11012353857492876,0.20833717883329783,4500
LOAO,choice (NEW),1,highlander_control,0.4228247583064785,0.1496716621491329,0.13367324691728819,8999
LOAO,choice (NEW),1,midrange,0.450625972294244,0.11903135374224608,0.15044945187581785,13499
LOAO,choice (NEW),10,aggro,0.5274480712166172,0.18990706677477143,0.23518032191826108,1348
LOAO,choice (NEW),10,combo_tempo,0.6111111111111112,0.39169890945060026,0.42773260377206856,450
LOAO,choice (NEW),10,highlander_control,0.4549499443826474,0.25961200352312097,0.2503627976169945,899
LOAO,choice (NEW),10,midrange,0.514455151964418,0.14535997350555266,0.1901794711409198,1349
LOAO,choice+deckz,1,aggro,0.4764339706536238,0.09721340135783567,0.15781794861734677,13494
