stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline44,all-users,baseline_both,3,matched-C10,0.24961566101966737,0.6461421505082132,,0.1,44,0.0
baseline44,all-users,baseline_both,5,full-pool,0.09090909090909091,0.3409090909090909,0.2435569649930998,0.022727272727272714,44,0.0
baseline44,all-users,baseline_both,5,matched-C10,0.31015712030429765,0.795120272916792,,0.1,44,0.0
baseline44,all-users,baseline_both,10,full-pool,0.22727272727272727,0.5454545454545454,0.36371067935650137,0.022727272727272714,44,0.0
baseline44,all-users,baseline_both,10,matched-C10,0.4340772128260562,0.8156580799877216,,0.1,44,0.0
baseline44,all-users,baseline_both,20,full-pool,0.3181818181818182,0.7727272727272727,0.4993042704146242,0.022727272727272714,44,0.0
baseline44,all-users,baseline_both,20,matched-C10,0.6120623994523151,0.9196989361332438,,0.1,44,0.0
baseline44,all-users,baseline_both,30,full-pool,0.5681818181818182,0.7272727272727273,0.6525156661520298,0.022727272727272714,44,0.0
baseline44,all-users,baseline_both,30,matched-C10,0.6925285441779455,0.9486622502638863,,0.1,44,0.0
baseline44,all-users,baseline_both,50,full-pool,0.6363636363636364,0.9318181818181818,0.7468326118326118,0.022727272727272714,44,0.0
baseline44,all-users,baseline_both,50,matched-C10,0.8234799180465956,0.9849609067748006,,0.1,44,0.0
baseline44,within-class,baseline_both,1,full-pool,0.08264462809917356,0.27823691460055094,0.19375111937799436,0.024793388429752164,363,0.0
baseline44,within-class,baseline_both,1,matched-C10,0.2158977284536011,0.6516169052775767,,0.1,363,0.0
baseline44,within-class,baseline_both,3,full-pool,0.15714285714285714,0.4257142857142857,0.2986574113740832,0.0257142857142857,350,0.0
baseline44,within-class,baseline_both,3,matched-C10,0.3441908290054144,0.792355202986156,,0.1,350,0.0
baseline44,within-class,baseline_both,5,full-pool,0.18960244648318042,0.5259938837920489,0.34378607015925794,0.027522935779816553,327,0.0
baseline44,within-class,baseline_both,5,matched-C10,0.3893121611047969,0.8449632419886041,,0.1,327,0.0
baseline44,within-class,baseline_both,10,full-pool,0.33222591362126247,0.6677740863787376,0.487874533102979,0.02990033222591366,301,0.0
baseline44,within-class,baseline_both,10,matched-C10,0.527552068652824,0.919924849631706,,0.1,301,0.0
baseline44,within-class,baseline_both,20,full-pool,0.5,0.8293650793650794,0.6412695739675552,0.035714285714285775,252,0.0
baseline44,within-class,baseline_both,20,matched-C10,0.6637559358205609,0.9663889816047067,,0.1,252,0.0
baseline44,within-class,baseline_both,30,full-pool,0.641860465116279,0.8930232558139535,0.7546364810899695,0.041860465116279076,215,0.0
baseline44,within-class,baseline_both,30,matched-C10,0.758367469883418,0.9812133428745888,,0.1,215,0.0
baseline44,within-class,baseline_both,50,full-pool,0.7834394904458599,0.9490445859872612,0.8605247194419168,0.05732484076433118,157,0.0
baseline44,within-class,baseline_both,50,matched-C10,0.8424347903186321,0.9887475965890906,,0.1,157,0.0
baseline44,within-archetype,baseline_both,1,full-pool,0.11584875301689461,0.33145615446500404,0.24197558411693917,0.03942075623491566,1243,0.0
baseline44,within-archetype,baseline_both,1,matched-C10,0.20170549976030352,0.6325051586796987,,0.1,1243,0.0
baseline44,within-archetype,baseline_both,3,full-pool,0.19753086419753085,0.5360082304526749,0.36296541642513336,0.05041152263374508,972,0.0
baseline44,within-archetype,baseline_both,3,matched-C10,0.30003485419442405,0.770239589098999,,0.1,972,0.0
baseline44,within-archetype,baseline_both,5,full-pool,0.27383863080684595,0.6466992665036675,0.4430900499344341,0.05990220048899789,818,0.0
baseline44,within-archetype,baseline_both,5,matched-C10,0.3537227805374589,0.7931480568508279,,0.1,803,0.0
baseline44,within-archetype,baseline_both,10,full-pool,0.39838709677419354,0.7709677419354839,0.5565954283366017,0.07903225806451666,620,0.0
baseline44,within-archetype,baseline_both,10,matched-C10,0.4130188155470029,0.8430096330960806,,0.1,485,0.0
baseline44,within-archetype,baseline_both,20,full-pool,0.5717703349282297,0.9210526315789473,0.7084004445846549,0.11483253588516784,418,0.0
baseline44,within-archetype,baseline_both,20,matched-C10,0.5225784121538841,0.9449564586357038,,0.1,265,0.0
baseline44,within-archetype,baseline_both,30,full-pool,0.6776315789473685,0.9638157894736842,0.7917932852965748,0.1480263157894738,304,0.0
baseline44,within-archetype,baseline_both,30,matched-C10,0.6033897681266102,0.9609311740890688,,0.1,95,0.0
baseline44,within-archetype,baseline_both,50,full-pool,0.8488372093023255,1.0,0.90484496124031,0.23255813953488347,172,0.0
baseline44,within-archetype,baseline_both,50,matched-C10,0.5,1.0,,0.1,10,0.0
baseline44,pilot|distractors=all,baseline_both,1,matched-C10,0.36229720730432124,,,0.1,1243,0.0
baseline44,pilot|distractors=class,baseline_both,1,matched-C10,0.28045111539839707,,,0.1,1243,0.0
baseline44,pilot|distractors=archetype,baseline_both,1,matched-C10,0.2017054997603036,,,0.1,1243,0.0
baseline44,pilot|distractors=all,baseline_both,3,matched-C10,0.6568800550082161,,,0.1,972,0.0
baseline44,pilot|distractors=class,baseline_both,3,matched-C10,0.47424375303484795,,,0.1,972,0.0
baseline44,pilot|distractors=archetype,baseline_both,3,matched-C10,0.30003485419442427,,,0.1,972,0.0
baseline44,pilot|distractors=all,baseline_both,5,matched-C10,0.7759967517103569,,,0.1,818,0.0
baseline44,pilot|distractors=class,baseline_both,5,matched-C10,0.5665759763700482,,,0.1,818,0.0
baseline44,pilot|distractors=archetype,baseline_both,5,matched-C10,0.3537227805374592,,,0.1,803,0.0
baseline44,pilot|distractors=all,baseline_both,10,matched-C10,0.892397913618742,,,0.1,620,0.0
baseline44,pilot|distractors=class,baseline_both,10,matched-C10,0.676539730282161,,,0.1,620,0.0
baseline44,pilot|distractors=archetype,baseline_both,10,matched-C10,0.4130188155470028,,,0.1,485,0.0
baseline44,pilot|distractors=all,baseline_both,20,matched-C10,0.9606919341636921,,,0.1,419,0.0
baseline44,pilot|distractors=class,baseline_both,20,matched-C10,0.7971588451698982,,,0.1,419,0.0
baseline44,pilot|distractors=archetype,baseline_both,20,matched-C10,0.5225784121538841,,,0.1,265,0.0
baseline44,pilot|distractors=all,baseline_both,30,matched-C10,0.9708706103483492,,,0.1,308,0.0
baseline44,pilot|distractors=class,baseline_both,30,matched-C10,0.8428276412450605,,,0.1,308,0.0
baseline44,pilot|distractors=archetype,baseline_both,30,matched-C10,0.6033897681266102,,,0.1,95,0.0
baseline44,pilot|distractors=all,baseline_both,50,matched-C10,0.9829780413217983,,,0.1,179,0.0
baseline44,pilot|distractors=class,baseline_both,50,matched-C10,0.8995810354955984,,,0.1,179,0.0
baseline44,pilot|distractors=archetype,baseline_both,50,matched-C10,0.5,,,0.1,10,0.0
ge2e,all-users,a_embed,1,full-pool,0.20454545454545456,0.29545454545454547,0.2769167033501088,0.022727272727272714,44,0.0
ge2e,all-users,a_embed,1,matched-C10,0.2848703105890316,0.6611377839025091,,0.1,44,0.0
ge2e,all-users,a_embed,3,full-pool,0.18181818181818182,0.5,0.33154584216837174,0.022727272727272714,44,0.0
ge2e,all-users,a_embed,3,matched-C10,0.40771061156170274,0.9245502691781465,,0.1,44,0.0
ge2e,all-users,a_embed,5,full-pool,0.3181818181818182,0.7272727272727273,0.4973065234428869,0.022727272727272714,44,0.0
ge2e,all-users,a_embed,5,matched-C10,0.6093889235916883,0.9577592617864881,,0.1,44,0.0
ge2e,all-users,a_embed,10,full-pool,0.3409090909090909,0.7727272727272727,0.5430949824833515,0.022727272727272714,44,0.0
ge2e,all-users,a_embed,10,matched-C10,0.6629443136578107,0.9703086723416902,,0.1,44,0.0
ge2e,all-users,a_embed,20,full-pool,0.7045454545454546,1.0,0.8208333333333333,0.022727272727272714,44,0.0
ge2e,all-users,a_embed,20,matched-C10,0.9025266848862992,1.0,,0.1,44,0.0
ge2e,all-users,a_embed,30,full-pool,0.8409090909090909,0.9772727272727273,0.9081439393939393,0.022727272727272714,44,0.0
ge2e,all-users,a_embed,30,matched-C10,0.9486748779372,0.9999481063382308,,0.1,44,0.0
ge2e,all-users,a_embed,50,full-pool,0.9318181818181818,1.0,0.9621212121212122,0.022727272727272714,44,0.0
ge2e,all-users,a_embed,50,matched-C10,0.9818785865297492,1.0,,0.1,44,0.0
ge2e,within-class,a_embed,1,full-pool,0.2066115702479339,0.4380165289256198,0.33297459417359837,0.024793388429752164,363,0.0
ge2e,within-class,a_embed,1,matched-C10,0.3736723942910768,0.7875645075787702,,0.1,363,0.0
ge2e,within-class,a_embed,3,full-pool,0.36,0.7,0.5138833332992568,0.0257142857142857,350,0.0
ge2e,within-class,a_embed,3,matched-C10,0.5838328030452923,0.9430589806096967,,0.1,350,0.0
ge2e,within-class,a_embed,5,full-pool,0.4617737003058104,0.8134556574923547,0.6097373363650368,0.027522935779816553,327,0.0
ge2e,within-class,a_embed,5,matched-C10,0.6746097048025441,0.9777115172920722,,0.1,327,0.0
ge2e,within-class,a_embed,10,full-pool,0.6079734219269103,0.920265780730897,0.7404207365170822,0.02990033222591366,301,0.0
ge2e,within-class,a_embed,10,matched-C10,0.7962008736991816,0.9985344787167901,,0.1,301,0.0
ge2e,within-class,a_embed,20,full-pool,0.8214285714285714,0.9761904761904762,0.88913139329806,0.035714285714285775,252,0.0
ge2e,within-class,a_embed,20,matched-C10,0.9072724988413482,0.9987003066226612,,0.1,252,0.0
ge2e,within-class,a_embed,30,full-pool,0.8883720930232558,1.0,0.9395348837209302,0.041860465116279076,215,0.0
ge2e,within-class,a_embed,30,matched-C10,0.9491783398603417,1.0,,0.1,215,0.0
ge2e,within-class,a_embed,50,full-pool,0.9745222929936306,1.0,0.9851380042462844,0.05732484076433118,157,0.0
ge2e,within-class,a_embed,50,matched-C10,0.984789155353727,1.0,,0.1,157,0.0
ge2e,within-archetype,a_embed,1,full-pool,0.2075623491552695,0.49637972646822204,0.3569761525357497,0.03942075623491566,1243,0.0
ge2e,within-archetype,a_embed,1,matched-C10,0.3351319021892145,0.7715195492083854,,0.1,1243,0.0
ge2e,within-archetype,a_embed,3,full-pool,0.35699588477366256,0.7345679012345679,0.5256758061638106,0.05041152263374508,972,0.0
ge2e,within-archetype,a_embed,3,matched-C10,0.4790296558466529,0.9123868765452056,,0.1,972,0.0
ge2e,within-archetype,a_embed,5,full-pool,0.48655256723716384,0.8374083129584352,0.636254053660918,0.05990220048899789,818,0.0
ge2e,within-archetype,a_embed,5,matched-C10,0.5723613975027899,0.9489772186678374,,0.1,803,0.0
ge2e,within-archetype,a_embed,10,full-pool,0.6,0.9290322580645162,0.7350275978501778,0.07903225806451666,620,0.0
ge2e,within-archetype,a_embed,10,matched-C10,0.630263303135438,0.9758054563859626,,0.1,485,0.0
ge2e,within-archetype,a_embed,20,full-pool,0.8181818181818182,0.992822966507177,0.891011619958988,0.11483253588516784,418,0.0
ge2e,within-archetype,a_embed,20,matched-C10,0.7970848019904629,0.9919283546642037,,0.1,265,0.0
ge2e,within-archetype,a_embed,30,full-pool,0.8585526315789473,1.0,0.9197368421052631,0.1480263157894738,304,0.0
ge2e,within-archetype,a_embed,30,matched-C10,0.8221678321678321,1.0,,0.1,95,0.0
ge2e,within-archetype,a_embed,50,full-pool,0.9476744186046512,1.0,0.9738372093023255,0.23255813953488347,172,0.0
ge2e,within-archetype,a_embed,50,matched-C10,1.0,1.0,,0.1,10,0.0
ge2e,pilot|distractors=all,a_embed,1,matched-C10,0.647225746724454,,,0.1,1243,0.0
ge2e,pilot|distractors=class,a_embed,1,matched-C10,0.49124651834363237,,,0.1,1243,0.0
ge2e,pilot|distractors=archetype,a_embed,1,matched-C10,0.33513190218921496,,,0.1,1243,0.0
ge2e,pilot|distractors=all,a_embed,3,matched-C10,0.9101602726069427,,,0.1,972,0.0
ge2e,pilot|distractors=class,a_embed,3,matched-C10,0.7256288586091149,,,0.1,972,0.0
ge2e,pilot|distractors=archetype,a_embed,3,matched-C10,0.47902965584665275,,,0.1,972,0.0
ge2e,pilot|distractors=all,a_embed,5,matched-C10,0.9581181686029301,,,0.1,818,0.0
ge2e,pilot|distractors=class,a_embed,5,matched-C10,0.8124953883187331,,,0.1,818,0.0
ge2e,pilot|distractors=archetype,a_embed,5,matched-C10,0.5723613975027899,,,0.1,803,0.0
ge2e,pilot|distractors=all,a_embed,10,matched-C10,0.9809836225717774,,,0.1,620,0.0
ge2e,pilot|distractors=class,a_embed,10,matched-C10,0.8722779636019146,,,0.1,620,0.0
ge2e,pilot|distractors=archetype,a_embed,10,matched-C10,0.6302633031354383,,,0.1,485,0.0
ge2e,pilot|distractors=all,a_embed,20,matched-C10,0.9924935143117111,,,0.1,419,0.0
ge2e,pilot|distractors=class,a_embed,20,matched-C10,0.9438994272982769,,,0.1,419,0.0
ge2e,pilot|distractors=archetype,a_embed,20,matched-C10,0.7970848019904628,,,0.1,265,0.0
ge2e,pilot|distractors=all,a_embed,30,matched-C10,0.9937115561687315,,,0.1,308,0.0
ge2e,pilot|distractors=class,a_embed,30,matched-C10,0.9549749275468462,,,0.1,308,0.0
ge2e,pilot|distractors=archetype,a_embed,30,matched-C10,0.8221678321678323,,,0.1,95,0.0
ge2e,pilot|distractors=all,a_embed,50,matched-C10,0.9974577867051662,,,0.1,179,0.0
ge2e,pilot|distractors=class,a_embed,50,matched-C10,0.978030119018703,,,0.1,179,0.0
ge2e,pilot|distractors=archetype,a_embed,50,matched-C10,1.0,,,0.1,10,0.0
ge2e,all-users,a_embed,1,full-pool,0.06818181818181818,0.20454545454545456,0.16859418138690108,0.022727272727272714,44,1.0
ge2e,all-users,a_embed,1,matched-C10,0.19068111615653188,0.6733281268239621,,0.1,44,1.0
ge2e,all-users,a_embed,3,full-pool,0.18181818181818182,0.5,0.34034737207785626,0.022727272727272714,44,1.0
ge2e,all-users,a_embed,3,matched-C10,0.42437769010297904,0.8778547417231479,,0.1,44,1.0
ge2e,all-users,a_embed,5,full-pool,0.25,0.5909090909090909,0.42544024139111036,0.022727272727272714,44,1.0
ge2e,all-users,a_embed,5,matched-C10,0.5218122405064521,0.9541755057323617,,0.1,44,1.0
ge2e,all-users,a_embed,10,full-pool,0.5,0.8181818181818182,0.6389653906699361,0.022727272727272714,44,1.0
ge2e,all-users,a_embed,10,matched-C10,0.7250193006021888,0.9839273075831574,,0.1,44,1.0
ge2e,all-users,a_embed,20,full-pool,0.7045454545454546,0.9545454545454546,0.7977272727272727,0.022727272727272714,44,1.0
ge2e,all-users,a_embed,20,matched-C10,0.8631281004806991,0.9992282995387751,,0.1,44,1.0
ge2e,all-users,a_embed,30,full-pool,0.9090909090909091,1.0,0.9507575757575758,0.022727272727272714,44,1.0
ge2e,all-users,a_embed,30,matched-C10,0.9771217154938084,1.0,,0.1,44,1.0
ge2e,all-users,a_embed,50,full-pool,0.9545454545454546,1.0,0.9772727272727273,0.022727272727272714,44,1.0
ge2e,all-users,a_embed,50,matched-C10,0.9904862579281183,1.0,,0.1,44,1.0
ge2e,within-class,a_embed,1,full-pool,0.20385674931129477,0.4793388429752066,0.33854495376269106,0.024793388429752164,363,1.0
ge2e,within-class,a_embed,1,matched-C10,0.39247501197609275,0.7888293347532824,,0.1,363,1.0
ge2e,within-class,a_embed,3,full-pool,0.35714285714285715,0.6914285714285714,0.5113656037948288,0.0257142857142857,350,1.0
ge2e,within-class,a_embed,3,matched-C10,0.5814722566141077,0.9512383854228642,,0.1,350,1.0
ge2e,within-class,a_embed,5,full-pool,0.44954128440366975,0.8470948012232415,0.6168380248943064,0.027522935779816553,327,1.0
ge2e,within-class,a_embed,5,matched-C10,0.694150853973867,0.986703898362944,,0.1,327,1.0
ge2e,within-class,a_embed,10,full-pool,0.6511627906976745,0.9534883720930233,0.7708309024501429,0.02990033222591366,301,1.0
ge2e,within-class,a_embed,10,matched-C10,0.8202242767706956,0.995794717459362,,0.1,301,1.0
ge2e,within-class,a_embed,20,full-pool,0.8095238095238095,0.9880952380952381,0.8845946712018139,0.035714285714285775,252,1.0
ge2e,within-class,a_embed,20,matched-C10,0.9083196974865578,0.9999383430035543,,0.1,252,1.0
ge2e,within-class,a_embed,30,full-pool,0.8930232558139535,1.0,0.9389147286821706,0.041860465116279076,215,1.0
ge2e,within-class,a_embed,30,matched-C10,0.9455963082205432,1.0,,0.1,215,1.0
ge2e,within-class,a_embed,50,full-pool,0.9936305732484076,1.0,0.9968152866242038,0.05732484076433118,157,1.0
ge2e,within-class,a_embed,50,matched-C10,0.9966279505432746,1.0,,0.1,157,1.0
ge2e,within-archetype,a_embed,1,full-pool,0.2180209171359614,0.5333869670152857,0.3713342152384252,0.03942075623491566,1243,1.0
ge2e,within-archetype,a_embed,1,matched-C10,0.35035044435362117,0.7895557358519629,,0.1,1243,1.0
ge2e,within-archetype,a_embed,3,full-pool,0.3786008230452675,0.7602880658436214,0.5462623658825028,0.05041152263374508,972,1.0
ge2e,within-archetype,a_embed,3,matched-C10,0.5026101121726408,0.920366002272166,,0.1,972,1.0
ge2e,within-archetype,a_embed,5,full-pool,0.5073349633251834,0.8643031784841075,0.6602576201019125,0.05990220048899789,818,1.0
ge2e,within-archetype,a_embed,5,matched-C10,0.6041402179952011,0.9557572866796856,,0.1,803,1.0
ge2e,within-archetype,a_embed,10,full-pool,0.6629032258064517,0.9483870967741935,0.7847177598387269,0.07903225806451666,620,1.0
ge2e,within-archetype,a_embed,10,matched-C10,0.7057629887254395,0.9758204281477176,,0.1,485,1.0
ge2e,within-archetype,a_embed,20,full-pool,0.8157894736842105,0.9952153110047847,0.8927261335156073,0.11483253588516784,418,1.0
ge2e,within-archetype,a_embed,20,matched-C10,0.8090769136523854,0.9991291727140784,,0.1,265,1.0
ge2e,within-archetype,a_embed,30,full-pool,0.8651315789473685,0.9967105263157895,0.920202850877193,0.1480263157894738,304,1.0
ge2e,within-archetype,a_embed,30,matched-C10,0.7835737946264262,0.9894736842105263,,0.1,95,1.0
ge2e,within-archetype,a_embed,50,full-pool,0.9593023255813954,1.0,0.9781976744186046,0.23255813953488347,172,1.0
ge2e,within-archetype,a_embed,50,matched-C10,1.0,1.0,,0.1,10,1.0
ge2e,pilot|distractors=all,a_embed,1,matched-C10,0.6327139333559,,,0.1,1243,1.0
ge2e,pilot|distractors=class,a_embed,1,matched-C10,0.5081826673758597,,,0.1,1243,1.0
ge2e,pilot|distractors=archetype,a_embed,1,matched-C10,0.3503504443536216,,,0.1,1243,1.0
ge2e,pilot|distractors=all,a_embed,3,matched-C10,0.8967986176096633,,,0.1,972,1.0
ge2e,pilot|distractors=class,a_embed,3,matched-C10,0.7412842376359849,,,0.1,972,1.0
ge2e,pilot|distractors=archetype,a_embed,3,matched-C10,0.5026101121726412,,,0.1,972,1.0
ge2e,pilot|distractors=all,a_embed,5,matched-C10,0.9532311042277568,,,0.1,818,1.0
ge2e,pilot|distractors=class,a_embed,5,matched-C10,0.8296494583358686,,,0.1,818,1.0
ge2e,pilot|distractors=archetype,a_embed,5,matched-C10,0.6041402179952011,,,0.1,803,1.0
ge2e,pilot|distractors=all,a_embed,10,matched-C10,0.9817417106784766,,,0.1,620,1.0
ge2e,pilot|distractors=class,a_embed,10,matched-C10,0.8981920510053636,,,0.1,620,1.0
ge2e,pilot|distractors=archetype,a_embed,10,matched-C10,0.7057629887254399,,,0.1,485,1.0
ge2e,pilot|distractors=all,a_embed,20,matched-C10,0.9931496547482602,,,0.1,419,1.0
ge2e,pilot|distractors=class,a_embed,20,matched-C10,0.9460298860157529,,,0.1,419,1.0
ge2e,pilot|distractors=archetype,a_embed,20,matched-C10,0.8090769136523857,,,0.1,265,1.0
ge2e,pilot|distractors=all,a_embed,30,matched-C10,0.9932836822827088,,,0.1,308,1.0
ge2e,pilot|distractors=class,a_embed,30,matched-C10,0.9492609917875897,,,0.1,308,1.0
ge2e,pilot|distractors=archetype,a_embed,30,matched-C10,0.7835737946264263,,,0.1,95,1.0
ge2e,pilot|distractors=all,a_embed,50,matched-C10,0.9974955796951395,,,0.1,179,1.0
ge2e,pilot|distractors=class,a_embed,50,matched-C10,0.9808223110384878,,,0.1,179,1.0
ge2e,pilot|distractors=archetype,a_embed,50,matched-C10,1.0,,,0.1,10,1.0
ge2e,all-users,a_embed,1,full-pool,0.13636363636363635,0.38636363636363635,0.27254251140205643,0.022727272727272714,44,2.0
ge2e,all-users,a_embed,1,matched-C10,0.32758375167247616,0.7622039380480436,,0.1,44,2.0
ge2e,all-users,a_embed,3,full-pool,0.1590909090909091,0.4090909090909091,0.27973813140041354,0.022727272727272714,44,2.0
ge2e,all-users,a_embed,3,matched-C10,0.33278128330819623,0.8283437507248596,,0.1,44,2.0
ge2e,all-users,a_embed,5,full-pool,0.25,0.5681818181818182,0.3978026098260015,0.022727272727272714,44,2.0
ge2e,all-users,a_embed,5,matched-C10,0.48221426452462085,0.9223592448358846,,0.1,44,2.0
ge2e,all-users,a_embed,10,full-pool,0.4090909090909091,0.7727272727272727,0.5610186420957173,0.022727272727272714,44,2.0
ge2e,all-users,a_embed,10,matched-C10,0.6618176294610006,0.9860880666176662,,0.1,44,2.0
ge2e,all-users,a_embed,20,full-pool,0.6818181818181818,0.9772727272727273,0.8054924242424242,0.022727272727272714,44,2.0
ge2e,all-users,a_embed,20,matched-C10,0.8857162256989107,0.9999481063382308,,0.1,44,2.0
ge2e,all-users,a_embed,30,full-pool,0.8181818181818182,0.9545454545454546,0.8839285714285713,0.022727272727272714,44,2.0
ge2e,all-users,a_embed,30,matched-C10,0.9244467889570435,0.9992149907590098,,0.1,44,2.0
ge2e,all-users,a_embed,50,full-pool,0.8863636363636364,1.0,0.9393939393939394,0.022727272727272714,44,2.0
ge2e,all-users,a_embed,50,matched-C10,0.9723648444578675,1.0,,0.1,44,2.0
ge2e,within-class,a_embed,1,full-pool,0.2066115702479339,0.41597796143250687,0.3294761405617555,0.024793388429752164,363,2.0
ge2e,within-class,a_embed,1,matched-C10,0.36629270663751784,0.7763098769451366,,0.1,363,2.0
ge2e,within-class,a_embed,3,full-pool,0.32857142857142857,0.6485714285714286,0.4767575963698901,0.0257142857142857,350,2.0
ge2e,within-class,a_embed,3,matched-C10,0.5386483299372297,0.9390660591372318,,0.1,350,2.0
ge2e,within-class,a_embed,5,full-pool,0.42507645259938837,0.72782874617737,0.562626645672157,0.027522935779816553,327,2.0
ge2e,within-class,a_embed,5,matched-C10,0.6119285853415873,0.9656451483421321,,0.1,327,2.0
ge2e,within-class,a_embed,10,full-pool,0.5946843853820598,0.9102990033222591,0.7225047806296582,0.02990033222591366,301,2.0
ge2e,within-class,a_embed,10,matched-C10,0.7739058724476298,0.9961711374148712,,0.1,301,2.0
ge2e,within-class,a_embed,20,full-pool,0.7341269841269841,0.9682539682539683,0.8389535949059757,0.035714285714285775,252,2.0
ge2e,within-class,a_embed,20,matched-C10,0.8682331687409927,0.9928322230103809,,0.1,252,2.0
ge2e,within-class,a_embed,30,full-pool,0.8325581395348837,0.9720930232558139,0.8954485049833886,0.041860465116279076,215,2.0
ge2e,within-class,a_embed,30,matched-C10,0.902254064324954,0.9997022126589785,,0.1,215,2.0
ge2e,within-class,a_embed,50,full-pool,0.9044585987261147,1.0,0.9479830148619957,0.05732484076433118,157,2.0
ge2e,within-class,a_embed,50,matched-C10,0.9446122309588816,1.0,,0.1,157,2.0
ge2e,within-archetype,a_embed,1,full-pool,0.18825422365245373,0.5060337892196299,0.3440943335660634,0.03942075623491566,1243,2.0
ge2e,within-archetype,a_embed,1,matched-C10,0.32269634789189755,0.7662069715525923,,0.1,1243,2.0
ge2e,within-archetype,a_embed,3,full-pool,0.33641975308641975,0.6872427983539094,0.4978642393921791,0.05041152263374508,972,2.0
ge2e,within-archetype,a_embed,3,matched-C10,0.44838141048517216,0.8741067082896509,,0.1,972,2.0
ge2e,within-archetype,a_embed,5,full-pool,0.40464547677261614,0.8105134474327629,0.5767790399384478,0.05990220048899789,818,2.0
ge2e,within-archetype,a_embed,5,matched-C10,0.506499926299331,0.9285780093508248,,0.1,803,2.0
ge2e,within-archetype,a_embed,10,full-pool,0.614516129032258,0.9193548387096774,0.7465687961807376,0.07903225806451666,620,2.0
ge2e,within-archetype,a_embed,10,matched-C10,0.6621113376571561,0.9603587682666334,,0.1,485,2.0
ge2e,within-archetype,a_embed,20,full-pool,0.7392344497607656,0.9736842105263158,0.8347269689374945,0.11483253588516784,418,2.0
ge2e,within-archetype,a_embed,20,matched-C10,0.6986519141236125,0.9853674627259532,,0.1,265,2.0
ge2e,within-archetype,a_embed,30,full-pool,0.7796052631578947,0.9901315789473685,0.8758811090225567,0.1480263157894738,304,2.0
ge2e,within-archetype,a_embed,30,matched-C10,0.699517850570482,0.9825542878174458,,0.1,95,2.0
ge2e,within-archetype,a_embed,50,full-pool,0.9127906976744186,1.0,0.9554263565891472,0.23255813953488347,172,2.0
ge2e,within-archetype,a_embed,50,matched-C10,0.9,1.0,,0.1,10,2.0
ge2e,pilot|distractors=all,a_embed,1,matched-C10,0.6516816616549607,,,0.1,1243,2.0
ge2e,pilot|distractors=class,a_embed,1,matched-C10,0.4698434326662907,,,0.1,1243,2.0
ge2e,pilot|distractors=archetype,a_embed,1,matched-C10,0.32269634789189755,,,0.1,1243,2.0
ge2e,pilot|distractors=all,a_embed,3,matched-C10,0.9004844535690034,,,0.1,972,2.0
ge2e,pilot|distractors=class,a_embed,3,matched-C10,0.6735269479885062,,,0.1,972,2.0
ge2e,pilot|distractors=archetype,a_embed,3,matched-C10,0.44838141048517244,,,0.1,972,2.0
ge2e,pilot|distractors=all,a_embed,5,matched-C10,0.9464867094121049,,,0.1,818,2.0
ge2e,pilot|distractors=class,a_embed,5,matched-C10,0.7626294464840465,,,0.1,818,2.0
ge2e,pilot|distractors=archetype,a_embed,5,matched-C10,0.5064999262993308,,,0.1,803,2.0
ge2e,pilot|distractors=all,a_embed,10,matched-C10,0.9818637776607753,,,0.1,620,2.0
ge2e,pilot|distractors=class,a_embed,10,matched-C10,0.8733406791731474,,,0.1,620,2.0
ge2e,pilot|distractors=archetype,a_embed,10,matched-C10,0.6621113376571568,,,0.1,485,2.0
ge2e,pilot|distractors=all,a_embed,20,matched-C10,0.9873201539650203,,,0.1,419,2.0
ge2e,pilot|distractors=class,a_embed,20,matched-C10,0.9076636076342073,,,0.1,419,2.0
ge2e,pilot|distractors=archetype,a_embed,20,matched-C10,0.6986519141236125,,,0.1,265,2.0
ge2e,pilot|distractors=all,a_embed,30,matched-C10,0.9902763904580819,,,0.1,308,2.0
ge2e,pilot|distractors=class,a_embed,30,matched-C10,0.9236746623665804,,,0.1,308,2.0
ge2e,pilot|distractors=archetype,a_embed,30,matched-C10,0.6995178505704822,,,0.1,95,2.0
ge2e,pilot|distractors=all,a_embed,50,matched-C10,0.9949661333220624,,,0.1,179,2.0
ge2e,pilot|distractors=class,a_embed,50,matched-C10,0.9567339153295517,,,0.1,179,2.0
ge2e,pilot|distractors=archetype,a_embed,50,matched-C10,0.9,,,0.1,10,2.0
ge2e,all-users,b_lsa,1,full-pool,0.20454545454545456,0.3181818181818182,0.28321759499467053,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa,1,matched-C10,0.2947486385868928,0.736419881932913,,0.1,44,0.0
ge2e,all-users,b_lsa,3,full-pool,0.18181818181818182,0.4318181818181818,0.3264695168236189,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa,3,matched-C10,0.3996165811582118,0.8870831779748998,,0.1,44,0.0
ge2e,all-users,b_lsa,5,full-pool,0.29545454545454547,0.5681818181818182,0.43771306324201,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa,5,matched-C10,0.5050953440256959,0.9096162581847868,,0.1,44,0.0
ge2e,all-users,b_lsa,10,full-pool,0.4318181818181818,0.8409090909090909,0.5929383116883116,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa,10,matched-C10,0.7068653283493419,0.9692870447042462,,0.1,44,0.0
