stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,sim-pseudo-user,rhythm,100,full-pool,0.7,1.0,0.8166666666666668,0.0999999999999999,10,
baseline,sim-pseudo-user,rhythm,100,matched-C10,0.7,1.0,,0.1,10,
baseline,sim-pseudo-user,role,100,full-pool,0.4,1.0,0.65,0.0999999999999999,10,
baseline,sim-pseudo-user,role,100,matched-C10,0.4,1.0,,0.1,10,
baseline,sim-pseudo-user,both,100,full-pool,0.5,1.0,0.7166666666666667,0.0999999999999999,10,
baseline,sim-pseudo-user,both,100,matched-C10,0.5,1.0,,0.1,10,
baseline,sim-pseudo-user,cardseq,200,full-pool,0.8,1.0,0.8833333333333334,0.0999999999999999,10,
baseline,sim-pseudo-user,cardseq,200,matched-C10,0.8,1.0,,0.1,10,
baseline,sim-pseudo-user,rhythm,200,full-pool,0.8,1.0,0.8833333333333334,0.0999999999999999,10,
baseline,sim-pseudo-user,rhythm,200,matched-C10,0.8,1.0,,0.1,10,
baseline,sim-pseudo-user,role,200,full-pool,0.8,1.0,0.9,0.0999999999999999,10,
baseline,sim-pseudo-user,role,200,matched-C10,0.8,1.0,,0.1,10,
baseline,sim-pseudo-user,both,200,full-pool,0.8,1.0,0.9,0.0999999999999999,10,
baseline,sim-pseudo-user,both,200,matched-C10,0.8,1.0,,0.1,10,
baseline,sim-pseudo-user,cardseq,400,full-pool,1.0,1.0,1.0,0.0999999999999999,10,
baseline,sim-pseudo-user,cardseq,400,matched-C10,1.0,1.0,,0.1,10,
baseline,sim-pseudo-user,rhythm,400,full-pool,1.0,1.0,1.0,0.0999999999999999,10,
baseline,sim-pseudo-user,rhythm,400,matched-C10,1.0,1.0,,0.1,10,
baseline,sim-pseudo-user,role,400,full-pool,1.0,1.0,1.0,0.0999999999999999,10,
baseline,sim-pseudo-user,role,400,matched-C10,1.0,1.0,,0.1,10,
baseline,sim-pseudo-user,both,400,full-pool,1.0,1.0,1.0,0.0999999999999999,10,
baseline,sim-pseudo-user,both,400,matched-C10,1.0,1.0,,0.1,10,
baseline,all-users,cardseq,1,full-pool,0.0259067357512953,0.0880829015544041,0.0686496012254868,0.005181347150259,193,
baseline,all-users,cardseq,1,matched-C10,0.1717814080237162,0.5733506920739235,,0.1,193,
baseline,all-users,rhythm,1,full-pool,0.0207253886010362,0.0673575129533678,0.0562404889259318,0.005181347150259,193,
baseline,all-users,rhythm,1,matched-C10,0.1562585443418048,0.5592398539094847,,0.1,193,
baseline,all-users,role,1,full-pool,0.0207253886010362,0.0725388601036269,0.0599359893175774,0.005181347150259,193,
baseline,all-users,role,1,matched-C10,0.1799311567815193,0.5945938010689851,,0.1,193,
baseline,all-users,both,1,full-pool,0.0362694300518134,0.077720207253886,0.0743109814293079,0.005181347150259,193,
baseline,all-users,both,1,matched-C10,0.1869980043881024,0.5945417532925736,,0.1,193,
baseline,all-users,cardseq,3,full-pool,0.0157894736842105,0.0631578947368421,0.057864593442502,0.0052631578947368,190,
baseline,all-users,cardseq,3,matched-C10,0.188964676356277,0.6350052420266903,,0.1,190,
baseline,all-users,rhythm,3,full-pool,0.0,0.0473684210526315,0.040926151382874,0.0052631578947368,190,
baseline,all-users,rhythm,3,matched-C10,0.156435894106564,0.6104412646934377,,0.1,190,
baseline,all-users,role,3,full-pool,0.0210526315789473,0.0894736842105263,0.0721107877208303,0.0052631578947368,190,
baseline,all-users,role,3,matched-C10,0.2212747142613152,0.6638834560285736,,0.1,190,
baseline,all-users,both,3,full-pool,0.0210526315789473,0.0789473684210526,0.0734020690262153,0.0052631578947368,190,
baseline,all-users,both,3,matched-C10,0.2243044058753166,0.6779043564006977,,0.1,190,
baseline,all-users,cardseq,5,full-pool,0.0476190476190476,0.1375661375661375,0.101706485639008,0.0052910052910053,189,
baseline,all-users,cardseq,5,matched-C10,0.2680748037049725,0.749331466657575,,0.1,189,
baseline,all-users,rhythm,5,full-pool,0.0423280423280423,0.0899470899470899,0.0869867320708563,0.0052910052910053,189,
baseline,all-users,rhythm,5,matched-C10,0.2328149390402913,0.7082208392850466,,0.1,189,
baseline,all-users,role,5,full-pool,0.0317460317460317,0.1269841269841269,0.0946216304756267,0.0052910052910053,189,
baseline,all-users,role,5,matched-C10,0.2825060510312159,0.7557091602545766,,0.1,189,
