game_file,style,deck,deck_family,hero_class,opp_style,opp_deck,start_player,won,n_turns_total,f_n_turns,f_actions_per_turn,f_cards_per_turn,f_cards_drawn_per_turn,f_avg_card_cost,f_max_card_cost,f_std_card_cost,f_minion_frac,f_spell_frac,f_weapon_frac,f_avg_minion_atk,f_avg_minion_health,f_first_minion_turn,f_attacks_per_turn,f_face_attack_ratio,f_hero_power_per_turn,f_hero_power_frac,f_targeted_play_frac,f_target_face_frac,f_face_dmg_per_turn,f_minion_dmg_per_turn,f_face_dmg_share,f_dmg_taken_per_turn,f_heal_per_turn,f_armor_gain_per_turn,f_board_size_mean,f_board_size_max,f_opp_minions_killed_per_turn,f_own_minions_lost_per_turn,f_trade_ratio,f_mana_spent_per_turn,f_mana_floated_per_turn,f_mana_efficiency,f_hand_size_mean,f_deck_left_end
game_008_ramp-MidrangeBuffPaladin_vs_control-MidrangeSecretHunter.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,control,MidrangeSecretHunter,1,1,17,9,2.6666666666666665,1.1111111111111112,1.4444444444444444,4.1,7.0,1.7578395831246945,0.9,0.0,0.1,3.111111111111111,3.4444444444444446,2.0,1.5555555555555556,0.42857142857142855,0.0,0.0,0.1,0.0,2.888888888888889,3.7777777777777777,0.43333333333333335,1.6666666666666667,0.0,0.0,2.2222222222222223,7,0.8888888888888888,0.2222222222222222,0.8,4.555555555555555,0.4444444444444444,0.9111111111111111,3.6666666666666665,18
game_008_ramp-MidrangeBuffPaladin_vs_control-MiraclePirateRogue.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,control,MiraclePirateRogue,2,0,19,9,2.4444444444444446,1.1111111111111112,1.0,3.5,7.0,2.4596747752497685,0.9,0.1,0.0,3.2222222222222223,2.7777777777777777,3.0,0.7777777777777778,0.42857142857142855,0.5555555555555556,0.22727272727272727,0.1,0.0,1.1111111111111112,1.7777777777777777,0.38461538461538464,3.4444444444444446,0.0,0.0,2.111111111111111,4,0.5555555555555556,1.0,0.35714285714285715,5.0,0.1111111111111111,0.9782608695652174,5.666666666666667,17
game_008_ramp-MidrangeBuffPaladin_vs_control-MurlocDruid.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,control,MurlocDruid,1,1,21,11,2.727272727272727,1.0909090909090908,1.4545454545454546,3.6666666666666665,7.0,1.9293061504650377,0.75,0.08333333333333333,0.16666666666666666,3.0,3.7777777777777777,3.0,1.4545454545454546,0.625,0.18181818181818182,0.06666666666666667,0.0,,3.0,2.909090909090909,0.5076923076923077,2.090909090909091,0.36363636363636365,0.0,2.090909090909091,5,1.0,0.7272727272727273,0.5789473684210527,4.363636363636363,1.5454545454545454,0.7384615384615385,3.272727272727273,16
game_008_ramp-MidrangeBuffPaladin_vs_control-RenoKazakusDragonPriest.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,control,RenoKazakusDragonPriest,2,1,24,12,3.8333333333333335,1.25,1.0833333333333333,3.4,8.0,2.0591260281974,0.8666666666666667,0.13333333333333333,0.0,3.0,3.3846153846153846,3.0,2.0833333333333335,0.6,0.5,0.13043478260869565,0.06666666666666667,0.0,3.5833333333333335,3.5833333333333335,0.5,0.16666666666666666,0.16666666666666666,0.0,3.6666666666666665,7,0.8333333333333334,1.0,0.45454545454545453,5.25,1.0833333333333333,0.8289473684210527,4.0,13
game_008_ramp-MidrangeBuffPaladin_vs_control-RenoKazakusMage.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,control,RenoKazakusMage,1,1,17,9,3.888888888888889,1.0,1.3333333333333333,3.2222222222222223,8.0,2.096440251568134,1.0,0.0,0.0,2.6666666666666665,2.5555555555555554,2.0,2.6666666666666665,0.875,0.2222222222222222,0.05714285714285714,0.0,,6.888888888888889,1.5555555555555556,0.8157894736842105,0.3333333333333333,0.0,0.0,3.5555555555555554,7,0.4444444444444444,1.2222222222222223,0.26666666666666666,3.6666666666666665,1.3333333333333333,0.7333333333333333,2.6666666666666665,18
game_008_ramp-MidrangeBuffPaladin_vs_control-ZooDiscardWarlock.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,control,ZooDiscardWarlock,1,1,23,12,2.75,0.9166666666666666,1.5,4.090909090909091,8.0,1.9750509984000393,0.9090909090909091,0.0,0.09090909090909091,3.3,3.9,2.0,1.1666666666666667,0.5,0.6666666666666666,0.24242424242424243,0.18181818181818182,0.0,1.6666666666666667,2.4166666666666665,0.40816326530612246,2.0833333333333335,0.3333333333333333,0.0,2.5833333333333335,6,1.5833333333333333,1.1666666666666667,0.5757575757575758,4.916666666666667,1.3333333333333333,0.7866666666666666,4.5,14
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-AggroPirateWarrior.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,AggroPirateWarrior,1,1,19,10,2.7,1.1,1.4,3.3636363636363638,8.0,2.05703790890632,0.8181818181818182,0.0,0.18181818181818182,2.888888888888889,3.4444444444444446,1.0,1.6,0.5,0.0,0.0,0.0,,2.5,2.9,0.46296296296296297,2.5,0.4,0.0,2.1,4,0.9,0.5,0.6428571428571429,3.7,1.8,0.6727272727272727,2.7,17
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-MidrangeBuffPaladin.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,MidrangeBuffPaladin,2,0,17,8,2.125,0.875,1.0,2.857142857142857,6.0,2.166535841157586,0.7142857142857143,0.2857142857142857,0.0,2.8,2.2,5.0,0.375,0.0,0.875,0.4117647058823529,0.14285714285714285,0.0,0.0,1.625,0.0,3.75,0.0,0.0,1.75,4,0.5,1.0,0.3333333333333333,4.25,0.375,0.918918918918919,6.75,18
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-MidrangeJadeShaman.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,MidrangeJadeShaman,1,1,15,8,3.625,1.125,1.75,2.888888888888889,6.0,1.5947444549341472,0.8888888888888888,0.1111111111111111,0.0,2.375,2.375,2.0,2.5,0.6,0.0,0.0,0.1111111111111111,0.0,3.75,2.875,0.5660377358490566,1.25,0.0,0.0,3.75,7,1.125,0.25,0.8181818181818182,3.0,1.5,0.6666666666666666,2.75,19
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-MidrangeSecretHunter.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,MidrangeSecretHunter,1,1,17,9,3.3333333333333335,0.8888888888888888,1.4444444444444444,4.25,8.0,1.6393596310755,1.0,0.0,0.0,3.125,3.25,3.0,2.0,0.7222222222222222,0.4444444444444444,0.13333333333333333,0.0,,2.6666666666666665,1.3333333333333333,0.6666666666666666,1.5555555555555556,0.4444444444444444,0.0,3.2222222222222223,7,0.6666666666666666,0.5555555555555556,0.5454545454545454,4.666666666666667,0.3333333333333333,0.9333333333333333,4.666666666666667,18
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-MiraclePirateRogue.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,MiraclePirateRogue,2,1,18,9,3.5555555555555554,1.1111111111111112,1.0,2.9,6.0,1.8138357147217055,0.9,0.1,0.0,2.5555555555555554,2.6666666666666665,1.0,2.0,0.7222222222222222,0.4444444444444444,0.125,0.0,,3.0,2.0,0.6,1.0,1.0,0.0,3.3333333333333335,7,0.7777777777777778,1.2222222222222223,0.3888888888888889,4.111111111111111,1.0,0.8043478260869565,4.777777777777778,17
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-MurlocDruid.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,MurlocDruid,2,1,24,12,3.25,1.3333333333333333,1.1666666666666667,3.375,7.0,1.7275343701356567,0.875,0.0625,0.0625,2.642857142857143,3.0714285714285716,2.0,1.6666666666666667,0.3,0.25,0.07692307692307693,0.0625,0.0,2.4166666666666665,3.9166666666666665,0.3815789473684211,0.75,0.3333333333333333,0.0,2.9166666666666665,7,1.0,0.8333333333333334,0.5454545454545454,5.0,1.3333333333333333,0.7894736842105263,4.166666666666667,12
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-RenoKazakusDragonPriest.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,RenoKazakusDragonPriest,1,0,32,16,3.25,1.25,1.3125,3.35,8.0,2.006863224038948,0.85,0.05,0.1,2.764705882352941,2.8823529411764706,1.0,1.5,0.375,0.5,0.15384615384615385,0.05,0.0,2.1875,3.125,0.4117647058823529,2.3125,0.25,0.0,1.6875,4,0.875,0.9375,0.4827586206896552,5.0625,2.125,0.7043478260869566,1.25,11
game_008_ramp-MidrangeBuffPaladin_vs_fatigue-RenoKazakusMage.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,fatigue,RenoKazakusMage,2,1,20,10,3.0,1.2,1.1,3.5,8.0,2.254624876411447,0.8333333333333334,0.16666666666666666,0.0,3.0,3.1,3.0,1.4,0.7142857142857143,0.4,0.13333333333333333,0.08333333333333333,0.0,3.9,1.1,0.78,1.8,0.4,0.0,3.3,7,0.4,0.8,0.3333333333333333,5.0,0.6,0.8928571428571429,4.0,15
